feat	n.vars	mean.s	median.s	sd.s	cv.s	liptak.s	p.nom	fdr
ENSDARG00000012982	16	1.72091043676138	1.54350466595408	1.10103227129192	0.639796382061568	6.88364174704551	0.6903	1
ENSDARG00000013000	3	2.84529621658549	2.40692615306148	1.66867846248412	0.586469153108643	4.92819760970957	0.17897	0.885065220061413
ENSDARG00000013004	2	1.08842856267632	1.08842856267632	0.0574252553411569	0.0527597835175831	1.53927043501111	0.72805	1
ENSDARG00000013009	10	1.49495912477897	1.46876827308486	0.925047504544369	0.618777790784839	4.72747584315342	0.7731	1
ENSDARG00000013020	14	1.18887379481138	0.69154966776939	1.09495130670505	0.920998773363299	4.44835841629797	0.96227	1
ENSDARG00000013024	2	0.657613468608387	0.657613468608387	0.0479930331088856	0.0729806115596239	0.930005886105194	0.87401	1
ENSDARG00000013031	14	1.43547974471316	1.40711956701394	1.23653379733702	0.861408042775344	5.37107339037037	0.86304	1
ENSDARG00000013063	11	1.70604669752996	1.71077433334494	1.47672952081007	0.865585638979342	5.65831677053184	0.65843	1
ENSDARG00000013078	30	6.53632639760528	4.20008653310687	7.30801674340522	1.11806178254542	35.8009341118489	0	0
ENSDARG00000013095	11	1.71122744689678	1.79709874247389	1.1292303702752	0.659894961551133	5.67549937231444	0.64308	1
ENSDARG00000013144	8	3.32884114994954	0.979275754322494	4.28872122100868	1.28835262117379	9.41538460248858	0.05521	0.698800267379679
ENSDARG00000013161	8	0.945942701485759	1.01495162690511	0.676256233961269	0.71490189934242	2.67552999533801	0.96217	1
ENSDARG00000013221	2	1.61185638749779	1.61185638749779	1.51393121323594	0.939246960820206	2.27950916379708	0.52866	1
ENSDARG00000013279	2	2.76146209057137	2.76146209057137	1.89137999052468	0.684919773833772	3.90529714046519	0.208	0.896836881918819
ENSDARG00000013292	4	1.68921101622346	1.69587778825119	0.472368071745574	0.279638285098115	3.37842203244693	0.5347	1
ENSDARG00000013295	25	2.27709612573982	1.78493868961357	2.08903291830644	0.917410949275459	11.3854806286991	0.26559	0.918048133828996
ENSDARG00000013317	6	1.93238463001867	1.67623269602205	1.24605879204971	0.64482959173489	4.73335633034259	0.45678	0.985715218604651
ENSDARG00000013333	9	2.55774024176344	1.95826104628529	1.3415142929564	0.524491999246762	7.67322072529033	0.19235	0.891562418235877
ENSDARG00000013360	2	1.65772415410054	1.65772415410054	0.74768029105018	0.451028169675107	2.34437598140245	0.48775	0.994290329091707
ENSDARG00000013414	15	1.34074303193979	1.18350424452053	1.01007897781896	0.753372535792765	5.19267543424645	0.92128	1
ENSDARG00000013415	7	2.1893520975919	1.6244208892013	1.95197451720041	0.89157633408871	5.79248118258578	0.3515	0.950883778162912
ENSDARG00000013443	7	2.10770772555354	1.04782277521322	2.13995874208253	1.0153014652544	5.57647047822424	0.38778	0.967357842190016
ENSDARG00000013457	2	2.6616376962748	2.6616376962748	2.45255300926227	0.921445098517666	3.7641241281953	0.21126	0.89909119266055
ENSDARG00000013475	10	2.8590586995073	2.08023435931509	1.29872815190577	0.454250258006098	9.04113745456201	0.10542	0.816257028380634
ENSDARG00000013478	3	5.30007572348962	4.18656721241574	4.53645506820363	0.855922689575609	9.18000043704639	0.02928	0.569950041841004
ENSDARG00000013561	4	0.853740738607202	0.563779352754999	0.68578513376771	0.803270949546703	1.7074814772144	0.93956	1
ENSDARG00000013582	9	1.60840444790827	1.12903435013942	1.46391746915316	0.910167508587152	4.82521334372481	0.67292	1
ENSDARG00000013596	9	1.12268489333965	1.04782277521322	0.633694909121868	0.564445921452473	3.36805468001893	0.93938	1
