feat	n.vars	mean.s	median.s	sd.s	cv.s	liptak.s	p.nom	fdr
ENSDARG00000000001	2	1.50125116707378	1.50125116707378	0.465721709142372	0.310222379410468	2.12308976100418	0.53718	1
ENSDARG00000000069	3	2.27819029175163	2.50839500877384	0.901700178773107	0.395796690925155	3.94594133462399	0.27784	0.897021781914894
ENSDARG00000000103	21	1.8930067679424	1.66363743321075	1.1811581416875	0.623958752652193	8.67484680515975	0.50847	1
ENSDARG00000000142	3	1.31817455285148	1.66871728755481	0.673818947207975	0.51117581184553	2.28314529878315	0.67338	1
ENSDARG00000000151	3	1.37760529932505	1.6244208892013	1.27228134921677	0.923545626486863	2.38608237120711	0.61894	1
ENSDARG00000000161	2	1.48826595286705	1.48826595286705	0.62288071529274	0.418527827027691	2.10472589496269	0.54138	1
ENSDARG00000000189	14	1.90239389565134	2.20117849880544	1.03371790796762	0.543377431104351	7.11810617221749	0.48268	0.994915414012739
ENSDARG00000000229	2	4.43277964148154	4.43277964148154	2.8649894787045	0.646318948926356	6.26889708799454	0.06586	0.647232753036437
ENSDARG00000000324	4	2.51150054001468	2.29667005556156	0.634801049965228	0.25275768006067	5.02300108002935	0.22118	0.839411821735731
ENSDARG00000000370	12	2.11118018012617	0.852319577796047	3.24464868501784	1.53688856856544	7.31334267182187	0.33367	0.927625532646048
ENSDARG00000000503	22	1.71155467362597	1.64127234080486	1.04151165271293	0.608517898237199	8.02790301497469	0.8168	1
ENSDARG00000000529	2	3.79289382490047	3.79289382490047	2.26237616080841	0.596477588155997	5.36396188781541	0.09347	0.715470470219436
ENSDARG00000000542	6	1.0047875467033	0.961983762188858	0.747951334372211	0.744387544238814	2.461216789326	0.93244	1
ENSDARG00000000551	9	1.57931521806997	1.43956230368816	1.38523618631971	0.877111909307476	4.73794565420992	0.66864	1
ENSDARG00000000567	7	3.15836807778297	1.74446101063095	3.41036982411185	1.07978859338832	8.35625648261884	0.08506	0.69549608040201
ENSDARG00000000568	2	1.0238658714591	1.0238658714591	0.565952148472102	0.552760048213707	1.44796500146841	0.77358	1
ENSDARG00000000631	15	1.96613316307621	1.51348207269889	1.81942677090463	0.925383287904039	7.61480099702028	0.42115	0.96976380455408
ENSDARG00000000729	6	2.26475937295955	2.34963357732205	1.70125921366708	0.751187624601328	5.54750485393648	0.29446	0.905979315494711
ENSDARG00000000796	7	1.77149264145802	1.18350424452053	1.44162587469212	0.813791624618656	4.68692897867883	0.53571	1
ENSDARG00000000853	10	1.96027426238668	1.54350466595408	1.35885868523015	0.693198248481669	6.19893150774846	0.41814	0.96976380455408
ENSDARG00000000857	4	1.73376098043101	1.88419440108103	0.768964075117159	0.443523694324921	3.46752196086203	0.48754	0.99853129113924
ENSDARG00000000935	2	3.96587034621365	3.96587034621365	2.0177504183952	0.508778714947556	5.60858763022863	0.07912	0.677947657342657
ENSDARG00000000943	4	0.993329098889896	1.12903435013942	0.271410502499056	0.273233214251322	1.98665819777979	0.85149	1
ENSDARG00000000966	24	1.31725204818311	1.03410395887171	0.901199655609535	0.684151265395685	6.45319076136934	0.96514	1
ENSDARG00000001014	5	1.74703135059474	1.04782277521322	1.87001708571669	1.07039698233239	3.9064808587531	0.49804	1
ENSDARG00000001015	18	1.11241215390063	1.12903435013942	0.534623926957378	0.480598782638916	4.71956506498482	0.98108	1
ENSDARG00000001057	6	2.05771657837446	1.3953579880822	1.98034876154737	0.962401130631796	5.04035565228313	0.34671	0.934348607318405
ENSDARG00000001154	4	0.942880999403592	0.802878874022193	0.493002742111249	0.522868466352691	1.88576199880718	0.89399	1
ENSDARG00000001162	3	1.57114981018693	2.3331065642714	1.36086061431541	0.866155859544352	2.72131129754596	0.55916	1
ENSDARG00000001210	5	0.65740983020612	0.497985283538048	0.577592199593201	0.878587713560818	1.47001306941748	0.98607	1
ENSDARG00000001220	25	1.972361493692	1.57275094726751	1.6773895632379	0.85044732854627	9.86180746846002	0.41924	0.96976380455408
ENSDARG00000001559	6	3.01369482192852	1.90878659459968	2.57233469250219	0.853548499265798	7.38201455419268	0.11285	0.755274387895461
ENSDARG00000001578	13	2.91968786025874	2.0906816859023	2.5345344314107	0.868084039362375	10.5270842885126	0.04798	0.609672565445026
ENSDARG00000001634	44	2.71279136555765	2.10527377149323	2.35726748509884	0.868945365658178	17.9946221881412	0.01586	0.38685648241206
ENSDARG00000001676	8	1.44392594946193	1.33103562101255	0.736483135477151	0.510056028670719	4.08403932158303	0.75353	1
ENSDARG00000001710	49	2.19626834579443	1.66266187498724	1.87381770322446	0.853182493301686	15.373878420561	0.16667	0.804907965116279
ENSDARG00000001729	7	1.37219885128458	0.586213345141312	1.39635779185952	1.01760600553799	3.63049690982751	0.7777	1
ENSDARG00000001734	7	1.11402867849744	0.881028429036563	0.785275899512901	0.704897382509083	2.94744283669817	0.90293	1
ENSDARG00000001807	30	2.43551838493526	1.87963763813751	2.87442472693307	1.18021064620683	13.3398835864759	0.11576	0.757419463087248
ENSDARG00000001835	4	2.45920641954964	1.68254424419574	2.30082415073007	0.935596187631712	4.91841283909928	0.22305	0.843698368298368
ENSDARG00000001889	4	3.97155056925579	4.26887261390067	2.15651563399339	0.542990853669904	7.94310113851158	0.03276	0.516289090909091
ENSDARG00000001890	8	1.86031696111989	1.28268052240767	1.32437137282899	0.711906304413703	5.26177095345689	0.4867	0.998297121148164
ENSDARG00000001910	11	2.58536127762638	2.50839500877384	1.69248337951243	0.654640956433869	8.57467330540057	0.14139	0.788502914798206
ENSDARG00000001912	3	2.55066657579803	1.92870913052087	1.34938783772844	0.529033410533579	4.41788410244992	0.23746	0.854829340252039
ENSDARG00000001929	24	2.38724000223084	2.5884666665093	1.2706680878188	0.532274964658508	11.6950397980523	0.14155	0.788502914798206
ENSDARG00000001930	7	1.57401643949303	1.42579946951914	0.989995225962901	0.628961172909836	4.16445605842591	0.62972	1
ENSDARG00000001969	2	2.20020882120383	2.20020882120383	2.30248031410177	1.04648263015416	3.11156515499938	0.29419	0.905979315494711
ENSDARG00000002016	2	3.30363235822288	3.30363235822288	1.12463544489646	0.340423910093142	4.6720416860934	0.14437	0.788502914798206
ENSDARG00000002031	14	1.66443294200716	1.30357546168233	1.28465261920911	0.771825999586337	6.22773781225099	0.67637	1
ENSDARG00000002037	17	2.64401169737714	1.9826747803625	2.66765601680219	1.00894259259462	10.9015395036546	0.08441	0.69549608040201
ENSDARG00000002082	8	3.00448939045203	2.9306832953206	1.53179736040835	0.509836168926491	8.49797928796666	0.07949	0.677947657342657
ENSDARG00000002128	4	1.60808031565436	1.91636281129031	1.18889387231588	0.739324933426659	3.21616063130872	0.5482	1
ENSDARG00000002172	7	1.81728138771131	1.21033581756191	1.34166849351019	0.738283296457405	4.80807461411047	0.48907	0.999315719091674
ENSDARG00000002190	10	1.88976350116859	1.94458887327966	1.19676093674347	0.633286088975374	5.97595690274702	0.46992	0.990816711380355
ENSDARG00000002210	8	1.45407434752991	0.999183944642129	1.60824623071254	1.10602751052209	4.11274332595123	0.73229	1
ENSDARG00000002217	45	2.95076751626316	3.10122263434833	1.4745453461452	0.499715866471434	19.7943502564879	0.00111	0.0811414925373134
ENSDARG00000002230	10	1.32969063622102	0.960201778084252	0.947966345223979	0.712922479410773	4.20485099385681	0.94294	1
ENSDARG00000002249	3	1.34776585358244	1.04782277521322	1.52009594611288	1.12786352471565	2.33439893511122	0.65515	1
ENSDARG00000002264	2	1.60093434982271	1.60093434982271	1.12420940249124	0.702220801631084	2.26406306998823	0.53982	1
ENSDARG00000002305	21	1.29099936516843	1.28063326167805	1.12607247300284	0.872248665169505	5.91610231302428	0.95645	1
ENSDARG00000002333	2	0.88485879483092	0.88485879483092	0.422348445292055	0.477306037708262	1.251379308435	0.87483	1
ENSDARG00000002339	8	1.26843244060369	0.952155265562717	1.19980212568267	0.94589359848889	3.58766872091148	0.84496	1
ENSDARG00000002523	11	2.15967228192335	2.40692615306148	1.21609192340659	0.563090953004948	7.16282262927041	0.32601	0.922570249854736
ENSDARG00000002546	14	1.98155716424861	1.49385215027608	1.69160493483235	0.853674557238317	7.41430800092564	0.43176	0.97232317489617
